query id	subject id	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score	COG#	functional categories					COG protein description
ACM49004.1	gnl|CDD|223544	21.074	242	154	9	66	278	34	267	5.06e-13	66.2	47	COG0468	L					RecA/RadA recombinase
ACM49004.1	gnl|CDD|223543	23.757	181	107	5	81	236	12	186	2.48e-11	60.9	34	COG0467	T					RecA-superfamily ATPases implicated in signal transduction
ACM49004.1	gnl|CDD|225429	48.214	56	29	0	77	132	13	68	4.92e-09	53.9	12	COG2874	N	U				Predicted ATPases involved in biogenesis of archaeal flagella
ACM49004.1	gnl|CDD|223679	24.675	154	97	7	310	451	4	150	1.01e-04	41.5	31	COG0606	O					Predicted ATPase with chaperone activity
ACM49004.1	gnl|CDD|223994	21.805	133	83	5	333	444	464	596	0.004	36.6	25	COG1067	O					Predicted ATP-dependent protease
ACM49004.1	gnl|CDD|223382	30.952	42	28	1	76	117	181	221	0.005	36.1	9	COG0305	L					Replicative DNA helicase
ACM49005.1	gnl|CDD|227012	35.983	717	332	9	22	738	27	616	8.06e-149	450	81	COG4666	R					TRAP-type uncharacterized transport system, fused permease components
ACM49005.1	gnl|CDD|224509	28.188	149	95	2	203	346	15	156	7.16e-12	64.9	16	COG1593	G					TRAP-type C4-dicarboxylate transport system, large permease component
ACM49006.1	gnl|CDD|224205	20.968	124	98	0	1	124	2	125	1.38e-14	65.8	64	COG1286	R					Uncharacterized membrane protein, required for colicin V production
ACM49007.1	gnl|CDD|223437	39.623	106	64	0	22	127	3	108	6.43e-27	93.9	83	COG0360	J					Ribosomal protein S6
ACM49008.1	gnl|CDD|223316	51.471	68	33	0	30	97	8	75	8.28e-26	88.5	68	COG0238	J					Ribosomal protein S18
ACM49009.1	gnl|CDD|223436	41.667	144	83	1	4	146	3	146	3.93e-41	134	65	COG0359	J					Ribosomal protein L9
ACM49010.1	gnl|CDD|223190	60.775	413	155	1	9	421	6	411	0.0	680	96	COG0112	E					Glycine/serine hydroxymethyltransferase
ACM49010.1	gnl|CDD|223476	26.984	189	113	8	82	261	41	213	1.63e-11	62.3	42	COG0399	M					Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis
ACM49010.1	gnl|CDD|223513	19.008	242	149	13	100	313	98	320	1.71e-06	46.9	50	COG0436	E					Aspartate/tyrosine/aromatic aminotransferase
ACM49010.1	gnl|CDD|223699	27.320	194	106	15	73	254	65	235	7.78e-05	41.4	42	COG0626	E					Cystathionine beta-lyases/cystathionine gamma-synthases
ACM49010.1	gnl|CDD|223594	19.635	219	146	8	151	344	145	358	8.93e-04	38.1	45	COG0520	E					Selenocysteine lyase
ACM49011.1	gnl|CDD|224876	25.263	95	67	2	16	109	9	100	1.82e-12	56.2	83	COG1965	P					Protein implicated in iron transport, frataxin homolog
ACM49012.1	gnl|CDD|224055	37.413	572	348	6	10	579	4	567	2.79e-147	434	98	COG1132	V					ABC-type multidrug transport system, ATPase and permease components
ACM49012.1	gnl|CDD|225183	31.404	570	379	6	11	576	147	708	9.34e-105	328	97	COG2274	V					ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain
ACM49012.1	gnl|CDD|227590	42.663	368	192	8	213	572	138	494	4.00e-78	252	62	COG5265	O					ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components
ACM49012.1	gnl|CDD|227320	26.746	587	394	16	10	575	1	572	1.95e-73	242	97	COG4987	C	O				ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components
ACM49012.1	gnl|CDD|227321	26.690	577	369	18	25	577	10	556	1.21e-69	232	95	COG4988	C	O				ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components
ACM49012.1	gnl|CDD|226969	36.910	233	144	3	332	563	330	560	1.58e-42	158	40	COG4618	R					ABC-type protease/lipase transport system, ATPase and permease components
ACM49012.1	gnl|CDD|224047	33.197	244	139	7	336	568	3	233	6.59e-39	140	40	COG1122	P					ABC-type cobalt transport system, ATPase component
ACM49012.1	gnl|CDD|224058	30.435	253	148	9	337	573	2	242	1.01e-38	142	41	COG1135	P					ABC-type metal ion transport system, ATPase component
ACM49012.1	gnl|CDD|224054	28.916	249	154	7	336	575	4	238	2.24e-38	140	41	COG1131	V					ABC-type multidrug transport system, ATPase component
ACM49012.1	gnl|CDD|224045	28.916	249	140	8	336	566	2	231	2.70e-38	138	40	COG1120	P	H				ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
ACM49012.1	gnl|CDD|224051	31.646	237	146	9	337	567	3	229	3.71e-36	132	40	COG1126	E					ABC-type polar amino acid transport system, ATPase component
ACM49012.1	gnl|CDD|224048	32.308	260	140	12	336	571	280	527	6.36e-36	138	41	COG1123	R					ATPase components of various ABC-type transport systems, contain duplicated ATPase
ACM49012.1	gnl|CDD|224048	29.457	258	148	10	337	571	6	252	2.07e-35	136	41	COG1123	R					ATPase components of various ABC-type transport systems, contain duplicated ATPase
ACM49012.1	gnl|CDD|226361	33.471	242	119	9	334	557	3	220	8.12e-35	132	38	COG3842	E					ABC-type spermidine/putrescine transport systems, ATPase components
ACM49012.1	gnl|CDD|226967	28.000	250	120	8	337	572	5	208	4.01e-34	127	41	COG4608	E					ABC-type oligopeptide transport system, ATPase component
ACM49012.1	gnl|CDD|224059	31.092	238	131	10	336	555	1	223	4.03e-34	126	38	COG1136	V					ABC-type antimicrobial peptide transport system, ATPase component
ACM49012.1	gnl|CDD|226359	29.918	244	120	11	336	557	3	217	6.49e-34	128	38	COG3839	G					ABC-type sugar transport systems, ATPase components
ACM49012.1	gnl|CDD|224046	30.769	247	135	10	336	563	4	233	1.47e-32	123	39	COG1121	P					ABC-type Mn/Zn transport systems, ATPase component
ACM49012.1	gnl|CDD|224041	28.696	230	128	10	334	550	1	207	7.07e-32	120	37	COG1116	P					ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
ACM49012.1	gnl|CDD|224049	31.381	239	131	8	336	557	3	225	1.53e-31	120	38	COG1124	E	P				ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
ACM49012.1	gnl|CDD|226643	32.432	222	126	6	354	562	43	253	1.80e-31	123	36	COG4175	E					ABC-type proline/glycine betaine transport system, ATPase component
ACM49012.1	gnl|CDD|224050	27.237	257	161	8	337	581	2	244	2.05e-31	121	42	COG1125	E					ABC-type proline/glycine betaine transport systems, ATPase components
ACM49012.1	gnl|CDD|225438	28.000	225	138	6	337	550	2	213	7.35e-31	117	37	COG2884	D					Predicted ATPase involved in cell division
ACM49012.1	gnl|CDD|223521	28.352	261	142	11	341	572	8	252	3.19e-30	118	40	COG0444	E	P				ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
ACM49012.1	gnl|CDD|224042	30.612	245	139	11	334	561	5	235	3.57e-30	116	39	COG1117	P					ABC-type phosphate transport system, ATPase component
ACM49012.1	gnl|CDD|226970	30.144	209	136	5	350	555	14	215	1.66e-28	110	35	COG4619	R					ABC-type uncharacterized transport system, ATPase component
ACM49012.1	gnl|CDD|226164	29.213	267	141	10	336	574	3	249	3.24e-28	110	41	COG3638	P					ABC-type phosphate/phosphonate transport system, ATPase component
ACM49012.1	gnl|CDD|226641	32.530	249	120	13	354	575	302	529	1.80e-27	113	40	COG4172	R					ABC-type uncharacterized transport system, duplicated ATPase component
ACM49012.1	gnl|CDD|226641	30.153	262	138	13	345	579	16	259	2.87e-23	100	40	COG4172	R					ABC-type uncharacterized transport system, duplicated ATPase component
ACM49012.1	gnl|CDD|224052	30.894	246	140	10	336	566	8	238	2.35e-27	108	40	COG1127	Q					ABC-type transport system involved in resistance to organic solvents, ATPase component
ACM49012.1	gnl|CDD|224053	33.047	233	133	10	337	559	9	228	2.96e-26	109	38	COG1129	G					ABC-type sugar transport system, ATPase component
ACM49012.1	gnl|CDD|224053	31.222	221	125	11	355	559	275	484	6.29e-14	71.4	38	COG1129	G					ABC-type sugar transport system, ATPase component
ACM49012.1	gnl|CDD|223488	31.507	219	121	9	354	552	19	228	8.90e-26	103	34	COG0411	E					ABC-type branched-chain amino acid transport systems, ATPase component
ACM49012.1	gnl|CDD|226927	27.092	251	160	7	337	577	2	239	1.37e-25	102	41	COG4555	C	P				ABC-type Na+ transport system, ATPase component
ACM49012.1	gnl|CDD|226364	31.667	240	128	12	336	559	4	223	4.22e-24	103	38	COG3845	R					ABC-type uncharacterized transport systems, ATPase components
ACM49012.1	gnl|CDD|226364	23.789	227	143	8	350	556	269	485	8.81e-18	83.4	38	COG3845	R					ABC-type uncharacterized transport systems, ATPase components
ACM49012.1	gnl|CDD|224057	23.404	235	147	9	338	563	26	236	4.27e-24	98.8	39	COG1134	G	M				ABC-type polysaccharide/polyol phosphate transport system, ATPase component
ACM49012.1	gnl|CDD|226360	31.496	254	131	11	336	572	1	228	7.74e-24	97.4	41	COG3840	H					ABC-type thiamine transport system, ATPase component
ACM49012.1	gnl|CDD|224026	28.571	224	142	8	342	552	9	227	1.34e-22	94.7	36	COG1101	R					ABC-type uncharacterized transport system, ATPase component
ACM49012.1	gnl|CDD|226905	30.275	218	121	8	353	558	19	217	1.87e-22	94.1	35	COG4525	P					ABC-type taurine transport system, ATPase component
ACM49012.1	gnl|CDD|224043	30.594	219	135	8	350	559	13	223	4.52e-22	94.7	36	COG1118	P					ABC-type sulfate/molybdate transport systems, ATPase component
ACM49012.1	gnl|CDD|224044	26.432	227	149	8	337	552	32	251	1.10e-21	92.0	37	COG1119	P					ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
ACM49012.1	gnl|CDD|226646	24.812	266	167	11	296	550	347	590	2.37e-21	95.1	44	COG4178	R					ABC-type uncharacterized transport system, permease and ATPase components
ACM49012.1	gnl|CDD|223487	28.634	227	135	9	352	565	16	228	2.55e-20	87.5	37	COG0410	E					ABC-type branched-chain amino acid transport systems, ATPase component
ACM49012.1	gnl|CDD|226647	29.167	216	126	6	353	554	24	226	4.56e-20	86.3	35	COG4181	Q					Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component
ACM49012.1	gnl|CDD|226961	30.992	242	128	12	355	572	22	248	5.44e-20	87.1	37	COG4598	E					ABC-type histidine transport system, ATPase component
ACM49012.1	gnl|CDD|226631	26.754	228	131	8	336	550	2	206	2.05e-19	86.3	37	COG4152	R					ABC-type uncharacterized transport system, ATPase component
ACM49012.1	gnl|CDD|224060	26.697	221	148	7	352	565	17	230	6.09e-19	83.4	37	COG1137	R					ABC-type (unclassified) transport system, ATPase component
ACM49012.1	gnl|CDD|226635	23.622	254	165	8	336	574	2	241	4.11e-18	81.0	41	COG4161	E					ABC-type arginine transport system, ATPase component
ACM49012.1	gnl|CDD|226929	29.279	222	140	8	355	565	17	232	6.17e-18	80.9	36	COG4559	P					ABC-type hemin transport system, ATPase component
ACM49012.1	gnl|CDD|226637	28.205	234	143	9	354	573	28	250	9.90e-18	80.6	38	COG4167	V					ABC-type antimicrobial peptide transport system, ATPase component
ACM49012.1	gnl|CDD|223473	32.110	218	122	9	351	552	16	223	1.33e-17	79.9	35	COG0396	O					ABC-type transport system involved in Fe-S cluster assembly, ATPase component
ACM49012.1	gnl|CDD|226963	27.755	245	144	8	337	566	2	228	2.54e-17	78.9	40	COG4604	P					ABC-type enterochelin transport system, ATPase component
ACM49012.1	gnl|CDD|223562	25.806	248	129	11	338	553	5	229	5.29e-17	81.1	39	COG0488	R					ATPase components of ABC transporters with duplicated ATPase domains
ACM49012.1	gnl|CDD|223562	25.641	234	139	12	337	564	322	526	1.48e-15	76.5	39	COG0488	R					ATPase components of ABC transporters with duplicated ATPase domains
ACM49012.1	gnl|CDD|226968	20.930	559	397	17	10	554	1	528	1.39e-16	79.8	94	COG4615	Q	P				ABC-type siderophore export system, fused ATPase and permease components
ACM49012.1	gnl|CDD|226952	26.639	244	151	7	332	564	21	247	1.79e-15	74.7	40	COG4586	R					ABC-type uncharacterized transport system, ATPase component
ACM49012.1	gnl|CDD|226592	26.022	269	155	10	337	579	7	257	1.87e-15	73.6	42	COG4107	P					ABC-type phosphonate transport system, ATPase component
ACM49012.1	gnl|CDD|227019	26.126	222	150	8	354	565	20	237	2.20e-15	73.1	36	COG4674	R					Uncharacterized ABC-type transport system, ATPase component
ACM49012.1	gnl|CDD|227118	28.571	196	96	9	353	526	25	198	6.66e-14	68.6	30	COG4778	P					ABC-type phosphonate transport system, ATPase component
ACM49012.1	gnl|CDD|226639	24.900	249	138	9	354	569	22	254	8.41e-13	66.8	37	COG4170	V					ABC-type antimicrobial peptide transport system, ATPase component
ACM49012.1	gnl|CDD|226620	26.829	164	95	6	355	508	18	166	8.48e-13	64.9	26	COG4136	R					ABC-type uncharacterized transport system, ATPase component
ACM49012.1	gnl|CDD|226628	27.919	197	120	8	369	556	28	211	2.08e-12	65.8	32	COG4148	P					ABC-type molybdate transport system, ATPase component
ACM49012.1	gnl|CDD|226617	22.400	250	146	9	336	581	2	207	5.89e-12	62.3	42	COG4133	O					ABC-type transport system involved in cytochrome c biogenesis, ATPase component
ACM49012.1	gnl|CDD|225265	26.289	194	108	7	353	534	397	567	4.62e-11	62.6	31	COG2401	R					ABC-type ATPase fused to a predicted acetyltransferase domain
ACM49012.1	gnl|CDD|226622	27.632	228	131	11	355	563	15	227	6.33e-08	51.0	36	COG4138	H					ABC-type cobalamin transport system, ATPase component
ACM49012.1	gnl|CDD|224166	22.564	195	117	10	361	548	363	530	1.77e-06	47.7	32	COG1245	R					Predicted ATPase, RNase L inhibitor (RLI) homolog
ACM49013.1	gnl|CDD|223981	55.793	561	221	10	27	580	19	559	0.0	697	92	COG1053	C					Succinate dehydrogenase/fumarate reductase, flavoprotein subunit
ACM49013.1	gnl|CDD|223108	34.364	550	296	20	30	565	12	510	1.48e-126	379	89	COG0029	H					Aspartate oxidase
ACM49013.1	gnl|CDD|223522	31.884	69	34	5	157	218	101	163	0.002	37.9	10	COG0445	D					NAD/FAD-utilizing enzyme apparently involved in cell division
ACM49014.1	gnl|CDD|223555	52.609	230	104	5	31	259	5	230	1.37e-115	328	87	COG0479	C					Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit
ACM49014.1	gnl|CDD|223325	21.649	97	68	3	166	262	5	93	2.73e-07	48.0	37	COG0247	C					Fe-S oxidoreductase
ACM49014.1	gnl|CDD|224072	21.698	106	70	3	154	259	23	115	2.34e-05	41.2	40	COG1150	C					Heterodisulfide reductase, subunit C
ACM49014.1	gnl|CDD|224062	20.619	97	56	3	172	261	310	392	0.001	37.3	34	COG1139	C					Uncharacterized conserved protein containing a ferredoxin-like domain
ACM49015.1	gnl|CDD|224270	31.752	274	180	5	10	277	1	273	9.29e-68	209	92	COG1351	F					Predicted alternative thymidylate synthase
ACM49016.1	gnl|CDD|225371	20.307	261	201	4	29	289	36	289	7.22e-16	75.3	66	COG2814	G					Arabinose efflux permease
ACM49016.1	gnl|CDD|223553	16.617	337	269	4	4	328	2	338	1.86e-06	46.2	83	COG0477	G	E	P	R		Permeases of the major facilitator superfamily
ACM49016.1	gnl|CDD|225121	13.971	136	117	0	157	292	183	318	1.53e-05	43.8	35	COG2211	G					Na+/melibiose symporter and related transporters
ACM49016.1	gnl|CDD|225133	18.398	337	257	9	59	384	67	396	0.002	36.9	83	COG2223	P					Nitrate/nitrite transporter
ACM49017.1	gnl|CDD|225164	58.095	315	129	2	13	325	12	325	1.67e-177	492	95	COG2255	L					Holliday junction resolvasome, helicase subunit
ACM49017.1	gnl|CDD|225165	25.909	220	118	8	21	222	18	210	1.07e-24	100	61	COG2256	L					ATPase related to the helicase subunit of the Holliday junction resolvase
ACM49017.1	gnl|CDD|223786	22.066	213	124	8	29	215	26	222	7.93e-11	59.4	56	COG0714	R					MoxR-like ATPases
ACM49017.1	gnl|CDD|223540	35.514	107	51	5	27	116	242	347	1.75e-06	46.4	50	COG0464	O					ATPases of the AAA+ class
ACM49017.1	gnl|CDD|223540	27.160	162	92	7	51	193	16	170	5.40e-05	41.7	50	COG0464	O					ATPases of the AAA+ class
ACM49017.1	gnl|CDD|223541	54.545	33	15	0	55	87	185	217	3.37e-06	45.4	10	COG0465	O					ATP-dependent Zn proteases
ACM49017.1	gnl|CDD|224143	38.028	71	36	3	51	113	183	253	3.72e-06	44.9	19	COG1222	O					ATP-dependent 26S proteasome regulatory subunit
ACM49017.1	gnl|CDD|224140	34.266	143	63	7	30	148	64	199	3.31e-05	42.2	36	COG1219	O					ATP-dependent protease Clp, ATPase subunit
ACM49017.1	gnl|CDD|224401	28.283	99	54	2	29	113	81	176	3.35e-05	41.6	26	COG1484	L					DNA replication protein
ACM49017.1	gnl|CDD|224144	23.364	214	125	9	26	216	120	317	7.14e-05	41.0	58	COG1223	R					Predicted ATPase (AAA+ superfamily)
ACM49017.1	gnl|CDD|225369	28.689	122	58	7	22	129	11	117	9.38e-05	40.8	33	COG2812	L					DNA polymerase III, gamma/tau subunits
ACM49017.1	gnl|CDD|224391	26.923	130	64	5	27	126	17	145	1.69e-04	40.0	30	COG1474	L	O				Cdc6-related protein, AAA superfamily ATPase
ACM49017.1	gnl|CDD|224160	27.660	94	55	6	107	195	147	232	0.001	37.4	27	COG1239	H					Mg-chelatase subunit ChlI
ACM49017.1	gnl|CDD|223666	26.389	72	42	1	56	116	116	187	0.001	37.3	18	COG0593	L					ATPase involved in DNA replication initiation
ACM49017.1	gnl|CDD|224145	36.667	60	36	1	29	86	41	100	0.001	36.9	18	COG1224	K					DNA helicase TIP49, TBP-interacting protein
ACM49017.1	gnl|CDD|223775	33.333	30	20	0	52	81	1	30	0.003	35.3	9	COG0703	E					Shikimate kinase
ACM49017.1	gnl|CDD|223542	56.000	25	11	0	57	81	354	378	0.004	36.0	8	COG0466	O					ATP-dependent Lon protease, bacterial type
ACM49017.1	gnl|CDD|223637	31.579	76	47	2	56	128	3	76	0.008	33.8	22	COG0563	F					Adenylate kinase and related kinases
ACM49017.1	gnl|CDD|224044	40.741	27	16	0	51	77	55	81	0.008	34.2	8	COG1119	P					ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
ACM49019.1	gnl|CDD|223826	39.713	209	124	2	35	241	63	271	9.31e-35	122	83	COG0755	O					ABC-type transport system involved in cytochrome c biogenesis, permease component
ACM49020.1	gnl|CDD|223272	44.211	190	102	3	40	228	1	187	6.82e-68	205	77	COG0194	F					Guanylate kinase
ACM49020.1	gnl|CDD|226232	31.395	86	54	3	40	123	2	84	0.002	35.0	34	COG3709	P					Uncharacterized component of phosphonate metabolism
ACM49021.1	gnl|CDD|223798	29.018	224	121	9	115	326	61	258	5.28e-27	105	57	COG0726	G					Predicted xylanase/chitin deacetylase
ACM49022.1	gnl|CDD|223268	53.191	282	128	2	4	285	2	279	5.25e-135	381	94	COG0190	H					5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
ACM49022.1	gnl|CDD|225280	33.333	42	27	1	191	231	184	225	0.004	35.4	14	COG2423	E					Predicted ornithine cyclodeaminase, mu-crystallin homolog
ACM49026.1	gnl|CDD|223669	18.952	248	155	3	46	250	23	267	9.30e-17	75.0	78	COG0596	R					Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)
ACM49026.1	gnl|CDD|225176	18.552	221	128	8	63	238	51	264	1.46e-08	51.6	67	COG2267	I					Lysophospholipase
ACM49026.1	gnl|CDD|224561	22.026	227	138	7	45	248	16	226	1.10e-07	48.5	78	COG1647	R					Esterase/lipase
ACM49026.1	gnl|CDD|224423	19.898	196	131	7	78	259	426	609	5.78e-06	44.1	69	COG1506	E					Dipeptidyl aminopeptidases/acylaminoacyl-peptidases
ACM49026.1	gnl|CDD|225496	22.689	119	76	6	39	148	24	135	1.03e-04	39.3	42	COG2945	R					Predicted hydrolase of the alpha/beta superfamily
ACM49026.1	gnl|CDD|223730	15.183	191	143	6	47	224	82	266	1.98e-04	39.1	68	COG0657	I					Esterase/lipase
ACM49026.1	gnl|CDD|226075	20.280	143	79	7	95	236	42	150	0.002	35.4	54	COG3545	R					Predicted esterase of the alpha/beta hydrolase fold
ACM49027.1	gnl|CDD|226005	47.573	103	52	1	74	174	29	131	2.14e-46	145	56	COG3474	C					Cytochrome c2
ACM49027.1	gnl|CDD|225418	27.778	126	48	9	67	179	11	106	6.14e-05	38.1	63	COG2863	C					Cytochrome c553
ACM49028.1	gnl|CDD|223724	29.193	483	316	9	21	493	11	477	5.68e-67	221	93	COG0651	C	P				Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
ACM49028.1	gnl|CDD|223941	28.893	488	313	11	15	488	1	468	3.33e-57	197	93	COG1009	C	P				NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
ACM49028.1	gnl|CDD|223940	25.403	496	320	13	21	497	12	476	6.89e-38	142	94	COG1008	C					NADH:ubiquinone oxidoreductase subunit 4 (chain M)
ACM49028.1	gnl|CDD|223939	22.518	413	301	8	90	496	68	467	4.11e-36	137	80	COG1007	C					NADH:ubiquinone oxidoreductase subunit 2 (chain N)
ACM49029.1	gnl|CDD|223647	28.146	874	482	22	6	868	1	739	0.0	622	98	COG0574	G					Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
ACM49029.1	gnl|CDD|224006	29.303	488	229	20	417	874	149	550	5.67e-59	208	52	COG1080	G					Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)
ACM49029.1	gnl|CDD|226133	26.724	464	235	16	423	862	328	710	9.42e-34	136	50	COG3605	T					Signal transduction protein containing GAF and PtsI domains
ACM49029.1	gnl|CDD|226367	27.419	124	77	2	392	515	1	111	1.09e-10	56.6	14	COG3848	T					Phosphohistidine swiveling domain
ACM49030.1	gnl|CDD|224397	24.074	108	74	5	38	141	279	382	0.003	34.3	62	COG1480	R					Predicted membrane-associated HD superfamily hydrolase
ACM49031.1	gnl|CDD|223620	28.571	189	123	4	1	181	2	186	1.10e-28	104	87	COG0546	R					Predicted phosphatases
ACM49031.1	gnl|CDD|223710	26.316	190	126	5	8	187	4	189	4.22e-19	79.0	86	COG0637	R					Predicted phosphatase/phosphohexomutase
ACM49031.1	gnl|CDD|223943	23.316	193	127	6	3	176	1	191	1.16e-16	72.6	83	COG1011	R					Predicted hydrolase (HAD superfamily)
ACM49031.1	gnl|CDD|223319	18.045	133	83	6	74	183	19	148	1.45e-04	38.0	53	COG0241	E					Histidinol phosphatase and related phosphatases
ACM49031.1	gnl|CDD|225090	24.211	95	61	3	88	181	51	135	0.003	34.2	45	COG2179	R					Predicted hydrolase of the HAD superfamily
ACM49032.1	gnl|CDD|223251	47.952	586	299	4	4	587	1	582	0.0	832	99	COG0173	J					Aspartyl-tRNA synthetase
ACM49032.1	gnl|CDD|223096	25.138	545	272	21	18	559	16	427	1.11e-56	194	92	COG0017	J					Aspartyl/asparaginyl-tRNA synthetases
ACM49032.1	gnl|CDD|224111	22.241	598	285	28	5	560	38	497	3.26e-32	127	94	COG1190	J					Lysyl-tRNA synthetase (class II)
ACM49032.1	gnl|CDD|225309	23.358	137	86	5	283	408	259	387	7.78e-05	42.3	21	COG2511	J					Archaeal Glu-tRNAGln amidotransferase subunit E (contains GAD domain)
ACM49032.1	gnl|CDD|225178	53.333	30	14	0	530	559	289	318	4.59e-04	39.6	30	COG2269	J					Truncated, possibly inactive, lysyl-tRNA synthetase (class II)
ACM49032.1	gnl|CDD|225178	21.290	155	101	7	143	289	15	156	0.002	37.7	30	COG2269	J					Truncated, possibly inactive, lysyl-tRNA synthetase (class II)
ACM49033.1	gnl|CDD|225379	32.124	193	125	3	1	189	5	195	2.95e-31	109	97	COG2823	R					Predicted periplasmic or secreted lipoprotein
ACM49033.1	gnl|CDD|227116	21.990	191	101	9	1	150	1	184	0.001	36.2	77	COG4775	M					Outer membrane protein/protective antigen OMA87
ACM49034.1	gnl|CDD|223267	30.938	320	194	12	2	301	1	313	2.08e-52	171	97	COG0189	H	J				Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)
ACM49035.1	gnl|CDD|224102	34.286	315	186	7	14	309	5	317	9.76e-68	212	89	COG1181	M					D-alanine-D-alanine ligase and related ATP-grasp enzymes
ACM49035.1	gnl|CDD|223534	20.588	238	165	7	64	287	71	298	1.24e-10	58.9	67	COG0458	E	F				Carbamoylphosphate synthase large subunit (split gene in MJ)
ACM49035.1	gnl|CDD|223105	22.594	239	155	10	32	250	13	241	4.74e-05	41.5	66	COG0026	F					Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
ACM49035.1	gnl|CDD|226433	21.264	174	117	6	116	278	125	289	1.30e-04	40.3	49	COG3919	R					Predicted ATP-grasp enzyme
ACM49035.1	gnl|CDD|223516	22.772	101	60	4	105	190	115	212	6.65e-04	38.0	26	COG0439	I					Biotin carboxylase
ACM49035.1	gnl|CDD|223267	27.586	87	53	4	105	184	119	202	0.003	35.8	24	COG0189	H	J				Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)
ACM49036.1	gnl|CDD|224505	25.472	212	144	6	53	255	44	250	7.15e-24	94.4	78	COG1589	M					Cell division septal protein
ACM49037.1	gnl|CDD|225114	38.675	468	267	9	4	463	1	456	5.72e-158	452	99	COG2204	T					Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains
ACM49037.1	gnl|CDD|226350	33.680	481	258	14	16	463	107	559	8.84e-80	255	96	COG3829	K	T				Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding domains
ACM49037.1	gnl|CDD|226132	34.957	349	211	9	127	463	201	545	5.98e-69	226	72	COG3604	K	T				Transcriptional regulator containing GAF, AAA-type ATPase, and DNA binding domains
ACM49037.1	gnl|CDD|225822	33.019	318	176	9	153	463	317	604	1.68e-58	199	67	COG3284	Q	K				Transcriptional activator of acetoin/glycerol metabolism
ACM49037.1	gnl|CDD|224142	28.244	393	241	8	91	463	27	398	3.11e-55	186	80	COG1221	K	T				Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain
ACM49037.1	gnl|CDD|225821	30.063	316	204	9	151	463	206	507	8.01e-46	163	67	COG3283	K	E				Transcriptional regulator of aromatic amino acids metabolism
ACM49037.1	gnl|CDD|223855	30.709	127	83	3	12	135	5	129	3.88e-25	97.2	27	COG0784	T					FOG: CheY-like receiver
ACM49037.1	gnl|CDD|223816	31.148	122	76	4	13	129	1	119	1.88e-23	95.4	25	COG0745	T	K				Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
ACM49037.1	gnl|CDD|226932	30.000	140	92	2	12	147	4	141	3.57e-21	88.5	29	COG4566	T					Response regulator
ACM49037.1	gnl|CDD|225971	26.752	157	110	2	15	168	17	171	2.35e-19	86.3	33	COG3437	K	T				Response regulator containing a CheY-like receiver domain and an HD-GYP domain
ACM49037.1	gnl|CDD|226229	29.630	135	91	2	5	137	125	257	6.76e-18	82.8	29	COG3706	T					Response regulator containing a CheY-like receiver domain and a GGDEF domain
ACM49037.1	gnl|CDD|226997	25.540	278	188	7	134	399	170	440	1.43e-16	78.8	57	COG4650	K	T				Sigma54-dependent transcription regulator containing an AAA-type ATPase domain and a DNA-binding domain
ACM49037.1	gnl|CDD|226931	29.710	138	77	5	15	142	3	130	1.61e-16	75.8	27	COG4565	K	T				Response regulator of citrate/malate metabolism
ACM49037.1	gnl|CDD|226933	29.808	104	71	1	13	116	10	111	8.39e-16	72.5	22	COG4567	T	K				Response regulator consisting of a CheY-like receiver domain and a Fis-type HTH domain
ACM49037.1	gnl|CDD|225107	34.146	123	77	2	14	134	2	122	1.66e-15	72.3	26	COG2197	T	K				Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain
